image_id,x,y,width,height
500,345,36,44,43
500,454,25,29,54
500,89,45,23,43
500,310,34,21,55
500,17,40,16,67
500,189,41,27,56
500,404,49,28,32
500,131,66,30,29
500,239,37,11,64
500,496,26,11,66
500,266,64,25,9
500,66,50,11,40
501,827,215,128,121
501,1159,205,107,108
501,1581,156,83,121
501,701,204,101,157
501,1304,182,43,139
501,1418,240,74,73
501,485,254,67,98
501,290,206,69,130
501,210,200,68,131
501,1018,283,76,30
502,218,61,41,42
502,77,46,35,68
502,281,43,28,59
502,368,60,32,36
502,423,40,35,51
502,534,36,13,48
502,123,58,10,49
502,143,69,19,22
502,324,39,15,73
502,482,64,34,12
503,703,115,37,152
503,798,151,73,70
503,312,148,55,70
503,498,83,40,177
503,418,100,69,117
503,1118,111,47,170
503,183,99,62,108
503,583,157,58,80
503,1039,139,53,103
503,92,82,40,143
503,936,183,47,19
504,170,20,23,26
504,361,2,17,31
504,4,13,8,26
504,103,13,21,23
504,271,12,20,22
504,306,11,9,28
504,218,11,13,20
504,70,18,19,17
504,331,17,16,21
504,18,13,14,25
504,140,12,10,31
504,46,14,14,19
504,244,28,17,7
505,1083,74,58,121
505,184,148,96,107
505,530,114,66,94
505,779,99,56,136
505,326,156,90,71
505,35,68,119,238
505,451,116,67,125
505,838,63,75,197
505,733,126,23,65
505,627,145,80,60
505,995,144,62,23
506,435,415,107,105
506,1284,397,84,102
506,775,409,35,136
506,1078,420,81,125
506,916,431,73,86
506,1392,380,44,150
506,1632,378,73,108
506,1510,418,60,79
506,554,477,102,25
506,852,431,33,67
507,546,300,132,145
507,1048,285,114,143
507,779,248,133,169
507,335,233,104,212
507,1321,203,45,219
508,1480,217,175,162
508,867,230,115,141
508,1213,245,101,117
508,511,250,116,152
508,1020,166,85,257
508,373,176,104,240
508,705,331,99,34
509,1072,94,55,143
509,533,92,42,162
509,457,119,69,90
509,130,99,64,155
509,727,100,44,119
509,1010,96,47,99
509,254,121,77,77
509,615,158,55,45
509,379,137,48,88
509,203,124,28,68
509,805,118,21,76
509,840,146,35,41
509,912,144,50,70
509,370,119,244,96
510,41,20,80,96
510,697,54,94,127
510,1066,83,79,101
510,177,22,74,110
510,312,9,52,145
510,903,74,108,110
510,425,33,32,94
510,478,35,65,110
510,823,43,54,152
510,585,107,78,25
511,380,175,283,798
511,1450,350,355,427
511,2116,501,284,407
511,1760,253,258,798
511,2612,276,305,592
511,782,426,244,361
511,3431,237,295,605
511,655,376,108,414
511,1151,639,173,52
511,3039,696,204,68
512,443,89,71,82
512,560,95,72,83
512,365,79,51,92
512,746,92,68,86
512,679,55,45,145
512,955,85,37,114
512,902,105,16,56
512,820,141,38,16
513,464,233,157,215
513,951,246,155,201
513,2216,257,92,274
513,2069,286,121,231
513,1724,251,127,221
513,707,365,123,146
513,1147,254,90,276
513,1579,250,85,272
513,376,262,94,224
513,1337,318,174,177
513,1895,417,107,45
514,175,205,83,105
514,445,197,32,137
514,1190,189,50,146
514,1099,197,68,91
514,979,242,66,69
514,900,198,25,117
514,728,242,62,66
514,826,207,44,82
514,63,198,77,131
514,575,217,117,91
514,513,205,31,128
514,304,278,89,21
515,613,47,22,111
515,198,57,29,64
515,846,83,35,42
515,1196,54,28,90
515,86,32,33,121
515,984,58,28,100
515,747,83,49,45
515,673,56,24,99
515,1133,67,33,61
515,449,44,23,105
515,519,88,42,43
515,368,59,40,61
515,924,73,43,62
515,153,54,14,69
515,288,93,39,6
515,1043,108,35,15
515,286,86,44,23
516,176,39,29,45
516,36,30,33,43
516,299,43,32,46
516,236,55,23,26
516,94,46,25,26
517,203,30,13,49
517,111,33,29,35
517,40,31,30,37
517,79,46,22,27
517,223,31,29,41
517,297,26,28,41
517,265,43,24,24
517,334,25,15,49
517,156,57,32,8
518,105,102,52,64
518,271,111,32,76
518,525,119,48,69
518,384,121,39,66
518,783,114,32,82
518,649,141,41,42
518,714,118,46,68
518,455,145,44,45
518,316,115,31,72
518,587,116,29,70
518,191,138,40,16
519,1185,154,157,230
519,255,131,126,232
519,112,134,107,226
519,793,199,171,228
519,666,170,103,318
519,457,262,146,212
519,1046,356,87,43
519,1267,272,161,269
519,1362,43,85,409
520,97,55,48,46
520,182,68,37,28
520,240,45,31,45
520,8,44,29,96
520,284,30,37,74
520,436,4,35,75
520,40,86,46,13
520,355,67,49,13
521,1793,510,165,177
521,221,397,127,349
521,804,490,181,224
521,2980,369,136,252
521,2115,457,195,223
521,1511,409,112,346
521,436,542,130,110
521,1244,548,127,125
521,2528,537,212,79
522,920,83,94,94
522,640,73,50,121
522,706,71,60,117
522,489,90,50,98
522,346,86,65,88
522,1042,62,47,138
522,213,91,88,92
522,834,137,46,20
523,222,193,82,108
523,749,227,79,80
523,322,248,52,51
523,627,246,46,41
523,889,202,90,64
523,557,216,24,83
523,445,263,74,24
524,1143,379,94,111
524,655,342,110,143
524,924,189,122,304
524,431,169,134,303
524,212,114,199,392
524,1373,282,50,194
525,837,376,58,100
525,346,389,68,94
525,534,404,59,64
525,88,403,66,75
525,194,439,48,48
525,264,382,51,129
525,635,372,46,135
525,457,427,47,65
525,735,443,55,18
525,738,447,47,5
526,108,49,121,136
526,691,107,78,125
526,803,85,129,135
526,263,115,115,97
526,1137,75,86,157
526,18,71,43,159
526,454,63,81,120
526,580,59,52,204
526,973,175,120,31
527,998,253,58,161
527,319,299,57,113
527,219,287,53,136
527,551,291,42,120
527,948,269,40,124
527,732,313,78,67
527,855,296,57,75
527,449,321,37,62
527,616,310,63,66
527,1316,277,41,63
527,1278,287,40,59
527,1158,323,69,28
527,1159,328,60,7
528,349,334,216,188
528,72,285,205,256
528,1969,289,156,262
528,1574,315,160,232
528,2572,405,152,161
528,1077,323,119,196
528,2247,457,208,156
528,1349,286,88,272
528,729,450,197,53
529,0,49,49,42
529,293,6,35,65
529,386,40,46,40
529,195,27,45,55
529,66,55,46,44
529,471,8,38,56
529,146,15,36,88
529,343,9,24,80
529,175,29,14,55
529,242,62,41,9
530,439,78,44,47
530,500,47,43,75
530,325,54,48,68
530,384,59,34,81
530,641,58,47,68
530,176,58,56,67
530,255,76,47,61
530,91,70,22,60
530,120,55,33,67
530,576,79,31,46
531,889,432,190,193
531,1578,336,165,200
531,1340,373,90,202
531,1863,388,132,152
531,2319,331,96,241
531,2424,297,93,308
531,537,390,146,177
531,187,369,115,250
531,2130,354,135,150
531,2976,377,212,116
531,2703,335,137,210
531,446,419,49,141
532,685,75,31,90
532,312,106,30,41
532,560,83,43,51
532,232,67,27,87
532,410,54,29,107
532,529,61,33,90
532,652,89,13,49
532,457,93,48,60
532,356,87,36,56
532,270,71,39,70
532,611,120,24,8
533,1493,232,113,215
533,568,279,206,158
533,368,211,80,172
533,243,220,69,156
533,1292,291,105,144
533,857,223,142,191
533,1023,275,167,151
533,2411,263,155,218
533,1715,247,68,226
533,1954,394,245,83
534,310,40,29,38
534,260,17,20,79
534,461,13,25,81
534,157,42,41,41
534,434,24,22,54
534,22,12,31,65
534,62,15,23,69
534,369,56,43,11
535,134,102,46,60
535,360,130,43,58
535,438,97,33,72
535,95,63,30,119
535,520,101,60,57
535,199,135,34,40
535,240,99,45,67
535,309,73,28,124
535,481,152,25,10
536,449,57,45,62
536,211,47,26,78
536,402,50,23,77
536,71,53,41,65
536,700,53,33,51
536,29,42,29,89
536,648,62,35,52
536,282,75,27,34
536,362,45,25,84
536,534,48,45,55
536,743,47,27,72
536,594,51,23,64
536,170,59,28,47
536,505,90,23,10
536,129,91,28,12
536,382,56,350,55
537,1160,393,99,154
537,1027,427,81,155
537,719,480,99,100
537,180,395,75,169
537,55,381,89,167
537,345,469,116,121
537,870,404,140,177
537,534,409,95,161
538,1152,453,44,94
538,383,415,59,76
538,519,408,59,84
538,282,393,45,81
538,918,425,67,91
538,758,428,72,103
538,195,386,41,116
538,1035,474,78,66
538,644,413,21,101
539,983,215,113,177
539,75,130,127,351
539,1567,146,99,218
539,420,263,137,148
539,256,165,162,202
539,1282,210,112,178
539,1140,166,114,309
539,659,160,117,204
539,1437,318,97,37
539,710,76,159,436
539,1672,108,94,398
539,812,101,51,203
539,1456,128,351,277
540,299,34,35,41
540,105,10,46,49
540,359,0,31,56
540,224,3,34,61
540,4,9,42,45
540,64,35,37,28
540,170,49,43,8
541,394,206,77,121
541,582,201,47,153
541,476,276,51,70
541,741,219,55,107
541,811,186,35,140
541,624,224,56,94
541,287,281,63,24
541,366,221,21,92
541,687,273,53,25
541,648,225,209,96
542,1910,256,117,218
542,1324,227,73,217
542,1065,266,124,143
542,875,310,95,132
542,483,279,64,161
542,1592,313,198,158
542,283,239,118,225
542,2483,278,125,152
542,609,300,146,130
542,2086,248,67,171
542,2734,251,67,246
542,2293,380,145,47
543,798,454,78,160
543,1129,425,84,174
543,223,454,43,109
543,417,453,61,125
543,304,453,83,126
543,488,456,61,125
543,538,415,63,216
543,977,489,100,92
543,887,454,61,160
543,78,385,69,229
543,640,491,118,102
543,136,504,84,30
544,828,233,48,133
544,738,302,61,61
544,868,231,53,106
544,430,283,75,89
544,662,232,45,108
544,334,292,59,80
544,1053,222,42,127
544,620,246,34,91
544,242,256,25,123
544,1024,238,27,89
544,931,298,63,24
544,527,323,71,19
544,274,314,43,43
545,389,42,42,48
545,205,38,19,48
545,16,6,19,90
545,139,52,45,35
545,241,22,19,88
545,309,56,47,50
545,63,16,54,67
546,1181,332,187,230
546,386,250,120,238
546,925,230,113,247
546,1441,247,175,248
546,570,252,58,244
546,708,413,126,44
547,282,124,49,49
547,359,81,70,82
547,487,110,45,60
547,596,97,55,66
547,184,75,51,77
547,91,142,48,13
548,494,29,94,125
548,817,42,23,134
548,141,44,106,114
548,649,116,86,30
548,79,31,29,127
548,321,118,96,28
549,1412,235,184,171
549,985,261,83,97
549,170,201,66,149
549,587,278,109,98
549,1207,296,99,116
549,319,273,80,94
549,842,190,60,145
549,1599,637,196,68
550,925,237,124,125
550,356,293,115,126
550,1530,224,144,136
550,1095,169,92,163
550,180,250,135,160
550,566,216,109,184
550,734,221,139,131
550,1711,174,107,183
550,1377,111,82,306
550,1272,142,65,220
550,120,212,72,229
551,401,210,146,217
551,694,286,153,189
551,1634,203,85,206
551,1483,217,122,155
551,1086,258,140,130
551,228,211,115,219
551,979,248,97,171
551,1313,322,104,39
552,62,11,18,22
552,217,13,14,18
552,110,7,25,24
552,154,16,16,18
552,191,2,18,25
552,5,4,14,23
552,247,1,16,28
552,23,20,5,7
553,78,197,82,111
553,645,190,74,97
553,171,194,82,109
553,751,226,75,61
553,364,207,79,74
553,551,208,75,80
553,838,181,56,88
553,448,184,40,133
553,280,261,54,14
554,476,43,54,35
554,181,34,54,52
554,119,55,39,48
554,372,12,23,96
554,418,17,34,71
554,606,5,37,93
554,40,42,43,60
554,556,5,46,65
554,245,15,28,108
554,6,26,26,106
554,297,63,46,17
555,1728,292,130,159
555,1504,355,121,143
555,2306,299,112,186
555,557,299,86,197
555,1892,285,89,159
555,684,281,92,268
555,1115,301,129,185
555,2110,380,139,104
555,898,406,98,135
555,189,308,128,307
555,1326,233,88,339
555,1262,307,105,240
555,266,449,159,48
556,1547,81,48,195
556,1324,120,111,129
556,1468,125,55,105
556,883,163,76,113
556,581,165,70,119
556,1000,179,93,81
556,1122,146,77,88
556,1223,116,42,141
556,128,150,73,114
556,697,134,55,164
556,469,139,45,142
556,56,153,68,136
556,788,149,60,137
556,373,155,73,114
556,240,218,80,26
557,440,107,109,97
557,161,109,19,93
557,771,68,64,136
557,607,121,94,95
557,223,81,78,124
557,312,171,63,19
558,258,464,84,97
558,133,459,49,113
558,1007,461,59,96
558,606,457,82,97
558,816,528,92,38
558,1220,0,59,45
559,663,93,65,74
559,864,106,88,82
559,1017,60,82,121
559,173,70,64,100
559,312,109,92,71
559,533,129,35,38
559,779,77,26,117
559,437,64,28,133
559,233,129,33,36
559,113,129,46,17
559,494,78,20,106
559,601,142,36,15
560,272,89,68,65
560,178,66,42,83
560,536,74,60,66
560,702,57,46,64
560,652,46,34,93
560,451,56,36,87
560,851,47,21,52
560,895,38,27,106
560,415,61,21,81
560,767,91,38,16
561,308,316,63,71
561,167,278,27,142
561,413,296,44,78
561,253,307,25,75
561,563,297,29,88
561,461,289,30,138
561,670,300,18,74
561,504,346,47,37
561,214,306,17,78
562,930,246,105,128
562,1071,210,92,141
562,743,237,41,109
562,787,238,76,119
562,260,266,93,93
562,406,226,71,119
562,60,205,152,162
562,595,304,100,22
563,639,103,76,87
563,1081,85,88,92
563,372,126,76,89
563,272,127,55,118
563,961,109,62,116
563,54,112,39,202
563,518,148,59,72
563,767,131,38,35
563,181,222,54,22
563,849,62,44,209
564,384,156,61,79
564,249,125,68,90
564,481,135,94,77
564,288,100,64,142
564,118,162,69,89
564,98,109,54,176
564,201,203,43,18
565,166,136,53,96
565,368,96,48,212
565,447,168,43,69
565,516,125,45,114
565,764,100,46,186
565,107,113,51,150
565,308,158,66,66
565,241,149,52,107
565,696,124,73,91
565,590,126,45,84
565,628,178,48,18
566,178,60,22,25
566,155,71,17,18
566,29,58,19,36
566,52,54,21,36
566,109,61,15,26
566,228,54,6,28
566,85,66,17,28
566,130,59,12,39
566,202,78,20,6
567,597,171,198,177
567,392,275,110,99
567,1093,175,75,166
567,1475,280,79,78
567,960,262,69,111
567,823,213,66,191
567,45,183,98,241
567,1396,222,31,110
567,1251,321,71,26
567,115,57,187,310
568,151,63,33,33
568,422,44,19,59
568,254,51,29,46
568,56,57,23,41
568,370,55,29,34
568,213,42,31,69
568,93,81,13,16
568,306,76,30,9
569,63,41,21,26
569,18,18,24,51
569,225,42,22,48
569,141,35,18,39
569,178,45,29,40
569,121,34,8,39
569,85,51,3,3
570,1295,287,61,117
570,750,318,69,86
570,958,292,58,108
570,1143,330,79,80
570,280,282,84,139
570,543,348,64,51
570,429,364,76,30
571,14,70,46,52
571,434,42,43,53
571,239,72,38,37
571,166,65,37,54
571,299,46,29,61
571,89,86,43,36
571,364,73,44,12
572,331,216,140,148
572,535,116,104,268
572,167,139,150,178
572,765,245,84,91
572,669,144,98,178
572,1440,38,216,281
572,1317,185,112,173
572,53,127,52,202
572,1060,124,140,185
572,1162,37,95,398
572,901,255,108,39
573,2451,261,254,872
573,2088,566,228,400
573,3028,689,237,270
573,1503,350,193,462
573,2738,373,309,531
573,3595,223,298,986
573,3363,366,257,518
573,576,199,227,905
573,864,372,310,501
573,1609,218,334,1018
573,1198,705,204,66
574,758,69,71,87
574,427,96,48,83
574,987,59,23,94
574,664,103,54,58
574,211,64,64,124
574,512,74,66,65
574,260,76,29,75
574,589,54,39,128
574,309,118,45,39
574,858,119,51,23
575,74,55,58,79
575,397,108,50,51
575,162,100,51,52
575,327,72,35,73
575,472,81,38,68
575,654,80,47,69
575,769,102,37,52
575,251,87,18,62
575,830,86,35,58
575,584,99,41,63
575,721,87,27,84
575,537,97,19,71
575,282,85,17,71
576,147,23,20,44
576,417,19,45,40
576,305,4,23,75
576,354,18,39,50
576,108,34,30,35
576,62,25,34,48
576,36,22,17,58
576,271,17,8,47
576,0,12,21,72
576,186,10,20,71
576,228,49,21,8
577,57,91,73,105
577,714,76,77,77
577,1173,47,55,98
577,477,91,61,83
577,230,109,47,82
577,849,57,41,157
577,375,62,40,153
577,1126,54,18,101
577,587,110,59,72
577,986,129,51,22
578,326,256,77,73
578,432,215,46,94
578,543,249,45,61
578,610,200,71,104
578,263,261,38,42
578,147,279,85,18
578,237,211,18,99
579,93,159,195,367
579,1371,266,156,249
579,1586,254,96,337
579,975,272,134,272
579,315,211,121,289
579,541,392,126,149
579,815,250,105,357
580,144,49,29,41
580,298,33,24,38
580,97,38,16,37
580,329,33,10,45
580,26,65,24,10
580,200,33,15,47
580,235,35,8,37
580,256,57,24,8
580,75,44,8,29
581,646,325,32,147
581,214,300,43,176
581,712,342,31,95
581,288,329,37,94
581,570,374,42,62
581,493,313,28,161
581,353,378,47,45
581,847,353,44,78
581,441,335,29,95
581,901,341,28,136
581,775,401,44,20
581,780,406,35,6
582,125,32,33,37
582,43,23,34,44
582,276,45,32,32
582,319,33,35,43
582,90,39,20,31
582,239,36,27,39
582,363,30,16,52
582,215,30,19,52
582,171,53,29,13
583,342,98,38,89
583,492,123,91,79
583,926,105,58,58
583,800,83,58,76
583,1027,69,62,90
583,685,117,82,79
583,400,105,24,89
583,610,108,69,72
584,1433,238,288,703
584,2289,371,290,388
584,1029,533,267,286
584,1757,378,246,416
584,667,333,266,469
584,2581,199,255,749
584,2032,678,185,55
584,277,604,245,90
585,110,41,17,31
585,157,57,17,20
585,58,43,16,31
585,204,50,23,23
585,258,45,14,28
585,184,47,13,30
585,135,46,10,33
585,37,49,15,29
585,238,57,16,16
585,283,46,9,36
585,83,67,14,5
586,909,390,44,101
586,134,416,61,91
586,285,399,50,101
586,223,449,54,53
586,667,401,61,105
586,753,397,43,89
586,486,405,51,81
586,90,403,42,126
586,839,427,47,58
586,371,400,21,129
586,429,431,37,64
586,993,395,29,124
586,568,455,61,24
587,484,103,67,108
587,198,89,67,126
587,710,136,73,114
587,846,128,58,105
587,62,57,47,192
587,338,137,58,72
587,603,86,38,176
587,1127,129,22,125
587,981,187,55,21
588,196,35,31,40
588,243,46,28,30
588,295,30,34,42
588,42,28,22,45
588,167,34,11,37
588,82,33,10,39
588,118,56,22,8
589,418,220,121,160
589,610,114,143,334
589,849,106,171,263
589,180,148,100,191
589,93,136,49,185
589,1196,104,183,227
589,1333,34,170,411
589,1031,301,123,50
590,699,311,102,214
590,1723,311,120,224
590,1369,322,83,204
590,93,237,156,405
590,1067,423,121,133
590,1252,331,57,203
590,392,432,94,107
590,902,286,76,320
590,540,442,129,104
590,227,207,203,304
590,1522,454,104,106
591,671,186,99,106
591,883,118,122,142
591,542,127,100,134
591,171,137,101,144
591,336,188,90,110
592,225,53,50,58
592,506,58,28,63
592,78,45,51,56
592,424,79,49,42
592,162,69,28,47
592,382,96,17,19
592,339,53,22,62
592,292,93,36,9
593,103,75,52,63
593,183,102,50,43
593,437,71,53,68
593,263,76,55,63
593,356,103,53,43
594,620,257,103,136
594,242,228,125,160
594,59,174,103,210
594,813,208,38,182
594,417,198,105,180
594,476,163,69,98
595,1026,146,73,144
595,838,187,131,142
595,408,212,128,155
595,103,169,75,215
595,698,140,65,241
595,252,225,108,121
595,617,214,27,124
595,1335,150,27,122
595,1153,224,110,38
596,749,280,85,98
596,153,238,133,148
596,398,263,50,135
596,654,240,71,147
596,865,214,69,170
596,318,293,49,95
596,612,262,21,114
596,484,344,99,21
597,262,213,304,273
597,2007,147,223,389
597,1032,203,151,298
597,1353,134,117,449
597,642,272,283,249
597,48,146,99,446
597,1595,304,209,251
597,2857,127,222,421
597,2438,363,221,47
598,1131,172,114,152
598,509,176,63,229
598,11,154,65,275
598,752,215,99,156
598,611,243,94,148
598,909,208,143,172
598,230,257,122,126
598,101,166,134,198
598,383,215,128,158
599,3596,147,179,276
599,3006,201,88,251
599,1133,242,108,166
599,2553,264,103,174
599,641,163,143,254
599,222,146,135,275
599,80,121,65,292
599,2279,170,186,270
599,1374,156,77,307
599,1491,212,233,202
599,2764,203,142,198
599,1844,262,190,178
599,929,140,87,306
